Broker    Stock          Value     Changes   Date and Time
Broker 2  Banking        109       9         9/15/2022 10:26:25 PM         
Broker 3  Banking        109       9         9/15/2022 10:26:25 PM         
Broker 4  Banking        109       9         9/15/2022 10:26:25 PM         
Broker 1  Retail         40        10        9/15/2022 10:26:26 PM         
Broker 4  Retail         40        10        9/15/2022 10:26:26 PM         
Broker 1  Technology     182       10        9/15/2022 10:26:26 PM         
Broker 2  Technology     182       10        9/15/2022 10:26:26 PM         
Broker 3  Technology     182       10        9/15/2022 10:26:26 PM         
Broker 4  Technology     182       10        9/15/2022 10:26:26 PM         
Broker 2  Commodity      621       10        9/15/2022 10:26:26 PM         
Broker 4  Commodity      621       10        9/15/2022 10:26:26 PM         
Broker 2  Banking        111       10        9/15/2022 10:26:26 PM         
Broker 3  Banking        111       10        9/15/2022 10:26:26 PM         
Broker 4  Banking        111       10        9/15/2022 10:26:26 PM         
Broker 1  Retail         41        11        9/15/2022 10:26:26 PM         
Broker 4  Retail         41        11        9/15/2022 10:26:26 PM         
Broker 1  Technology     183       11        9/15/2022 10:26:26 PM         
Broker 2  Technology     183       11        9/15/2022 10:26:26 PM         
Broker 3  Technology     183       11        9/15/2022 10:26:26 PM         
Broker 4  Technology     183       11        9/15/2022 10:26:26 PM         
Broker 2  Commodity      626       11        9/15/2022 10:26:26 PM         
Broker 4  Commodity      626       11        9/15/2022 10:26:26 PM         
Broker 2  Banking        113       11        9/15/2022 10:26:26 PM         
Broker 3  Banking        113       11        9/15/2022 10:26:26 PM         
Broker 4  Banking        113       11        9/15/2022 10:26:26 PM         
Broker 1  Retail         42        12        9/15/2022 10:26:27 PM         
Broker 4  Retail         42        12        9/15/2022 10:26:27 PM         
Broker 1  Technology     184       12        9/15/2022 10:26:27 PM         
Broker 2  Technology     184       12        9/15/2022 10:26:27 PM         
Broker 3  Technology     184       12        9/15/2022 10:26:27 PM         
Broker 4  Technology     184       12        9/15/2022 10:26:27 PM         
Broker 2  Commodity      641       12        9/15/2022 10:26:27 PM         
Broker 4  Commodity      641       12        9/15/2022 10:26:27 PM         
Broker 2  Banking        114       12        9/15/2022 10:26:27 PM         
Broker 3  Banking        114       12        9/15/2022 10:26:27 PM         
Broker 4  Banking        114       12        9/15/2022 10:26:27 PM         
Broker 1  Retail         43        13        9/15/2022 10:26:27 PM         
Broker 4  Retail         43        13        9/15/2022 10:26:27 PM         
Broker 1  Technology     187       13        9/15/2022 10:26:27 PM         
Broker 2  Technology     187       13        9/15/2022 10:26:27 PM         
Broker 3  Technology     187       13        9/15/2022 10:26:27 PM         
Broker 4  Technology     187       13        9/15/2022 10:26:27 PM         
Broker 2  Banking        115       13        9/15/2022 10:26:27 PM         
Broker 3  Banking        115       13        9/15/2022 10:26:27 PM         
Broker 4  Banking        115       13        9/15/2022 10:26:27 PM         
Broker 2  Commodity      645       13        9/15/2022 10:26:27 PM         
Broker 4  Commodity      645       13        9/15/2022 10:26:27 PM         
Broker 1  Retail         44        14        9/15/2022 10:26:28 PM         
Broker 4  Retail         44        14        9/15/2022 10:26:28 PM         
Broker 1  Technology     191       14        9/15/2022 10:26:28 PM         
Broker 2  Technology     191       14        9/15/2022 10:26:28 PM         
Broker 3  Technology     191       14        9/15/2022 10:26:28 PM         
Broker 4  Technology     191       14        9/15/2022 10:26:28 PM         
Broker 2  Banking        117       14        9/15/2022 10:26:28 PM         
Broker 3  Banking        117       14        9/15/2022 10:26:28 PM         
Broker 4  Banking        117       14        9/15/2022 10:26:28 PM         
Broker 2  Commodity      647       14        9/15/2022 10:26:28 PM         
Broker 4  Commodity      647       14        9/15/2022 10:26:28 PM         
Broker 1  Retail         45        15        9/15/2022 10:26:28 PM         
Broker 4  Retail         45        15        9/15/2022 10:26:28 PM         
Broker 1  Technology     193       15        9/15/2022 10:26:28 PM         
Broker 2  Technology     193       15        9/15/2022 10:26:28 PM         
Broker 3  Technology     193       15        9/15/2022 10:26:28 PM         
Broker 4  Technology     193       15        9/15/2022 10:26:28 PM         
Broker 2  Banking        119       15        9/15/2022 10:26:28 PM         
Broker 3  Banking        119       15        9/15/2022 10:26:28 PM         
Broker 4  Banking        119       15        9/15/2022 10:26:28 PM         
Broker 2  Commodity      662       15        9/15/2022 10:26:28 PM         
Broker 4  Commodity      662       15        9/15/2022 10:26:28 PM         
Broker 1  Retail         46        16        9/15/2022 10:26:29 PM         
Broker 4  Retail         46        16        9/15/2022 10:26:29 PM         
Broker 1  Technology     195       16        9/15/2022 10:26:29 PM         
Broker 2  Technology     195       16        9/15/2022 10:26:29 PM         
Broker 3  Technology     195       16        9/15/2022 10:26:29 PM         
Broker 4  Technology     195       16        9/15/2022 10:26:29 PM         
Broker 2  Banking        120       16        9/15/2022 10:26:29 PM         
Broker 3  Banking        120       16        9/15/2022 10:26:29 PM         
Broker 4  Banking        120       16        9/15/2022 10:26:29 PM         
Broker 2  Commodity      667       16        9/15/2022 10:26:29 PM         
Broker 4  Commodity      667       16        9/15/2022 10:26:29 PM         
Broker 1  Retail         47        17        9/15/2022 10:26:29 PM         
Broker 4  Retail         47        17        9/15/2022 10:26:29 PM         
Broker 1  Technology     199       17        9/15/2022 10:26:29 PM         
Broker 2  Technology     199       17        9/15/2022 10:26:29 PM         
Broker 3  Technology     199       17        9/15/2022 10:26:29 PM         
Broker 4  Technology     199       17        9/15/2022 10:26:29 PM         
Broker 2  Banking        123       17        9/15/2022 10:26:29 PM         
Broker 3  Banking        123       17        9/15/2022 10:26:29 PM         
Broker 4  Banking        123       17        9/15/2022 10:26:29 PM         
Broker 2  Commodity      674       17        9/15/2022 10:26:29 PM         
Broker 4  Commodity      674       17        9/15/2022 10:26:29 PM         
Broker 1  Retail         48        18        9/15/2022 10:26:30 PM         
Broker 4  Retail         48        18        9/15/2022 10:26:30 PM         
Broker 1  Technology     200       18        9/15/2022 10:26:30 PM         
Broker 2  Technology     200       18        9/15/2022 10:26:30 PM         
Broker 3  Technology     200       18        9/15/2022 10:26:30 PM         
Broker 4  Technology     200       18        9/15/2022 10:26:30 PM         
Broker 2  Banking        125       18        9/15/2022 10:26:30 PM         
Broker 3  Banking        125       18        9/15/2022 10:26:30 PM         
Broker 4  Banking        125       18        9/15/2022 10:26:30 PM         
Broker 2  Commodity      689       18        9/15/2022 10:26:30 PM         
Broker 4  Commodity      689       18        9/15/2022 10:26:30 PM         
Broker 1  Retail         49        19        9/15/2022 10:26:30 PM         
Broker 4  Retail         49        19        9/15/2022 10:26:30 PM         
Broker 1  Technology     204       19        9/15/2022 10:26:30 PM         
Broker 2  Technology     204       19        9/15/2022 10:26:30 PM         
Broker 3  Technology     204       19        9/15/2022 10:26:30 PM         
Broker 4  Technology     204       19        9/15/2022 10:26:30 PM         
Broker 2  Banking        126       19        9/15/2022 10:26:30 PM         
Broker 3  Banking        126       19        9/15/2022 10:26:30 PM         
Broker 4  Banking        126       19        9/15/2022 10:26:30 PM         
Broker 2  Commodity      697       19        9/15/2022 10:26:31 PM         
Broker 4  Commodity      697       19        9/15/2022 10:26:31 PM         
Broker 1  Retail         50        20        9/15/2022 10:26:31 PM         
Broker 4  Retail         50        20        9/15/2022 10:26:31 PM         
Broker 1  Technology     207       20        9/15/2022 10:26:31 PM         
Broker 2  Technology     207       20        9/15/2022 10:26:31 PM         
Broker 3  Technology     207       20        9/15/2022 10:26:31 PM         
Broker 4  Technology     207       20        9/15/2022 10:26:31 PM         
Broker 2  Banking        127       20        9/15/2022 10:26:31 PM         
Broker 3  Banking        127       20        9/15/2022 10:26:31 PM         
Broker 4  Banking        127       20        9/15/2022 10:26:31 PM         
Broker 2  Commodity      702       20        9/15/2022 10:26:31 PM         
Broker 4  Commodity      702       20        9/15/2022 10:26:31 PM         
Broker 1  Retail         51        21        9/15/2022 10:26:31 PM         
Broker 4  Retail         51        21        9/15/2022 10:26:31 PM         
Broker 1  Technology     209       21        9/15/2022 10:26:32 PM         
Broker 2  Technology     209       21        9/15/2022 10:26:32 PM         
Broker 3  Technology     209       21        9/15/2022 10:26:32 PM         
Broker 4  Technology     209       21        9/15/2022 10:26:32 PM         
Broker 2  Banking        129       21        9/15/2022 10:26:32 PM         
Broker 3  Banking        129       21        9/15/2022 10:26:32 PM         
Broker 4  Banking        129       21        9/15/2022 10:26:32 PM         
Broker 2  Commodity      716       21        9/15/2022 10:26:32 PM         
Broker 4  Commodity      716       21        9/15/2022 10:26:32 PM         
Broker 1  Retail         52        22        9/15/2022 10:26:32 PM         
Broker 4  Retail         52        22        9/15/2022 10:26:32 PM         
Broker 1  Technology     211       22        9/15/2022 10:26:32 PM         
Broker 2  Technology     211       22        9/15/2022 10:26:32 PM         
Broker 3  Technology     211       22        9/15/2022 10:26:32 PM         
Broker 4  Technology     211       22        9/15/2022 10:26:32 PM         
Broker 2  Banking        130       22        9/15/2022 10:26:32 PM         
Broker 3  Banking        130       22        9/15/2022 10:26:32 PM         
Broker 4  Banking        130       22        9/15/2022 10:26:32 PM         
Broker 2  Commodity      733       22        9/15/2022 10:26:32 PM         
Broker 4  Commodity      733       22        9/15/2022 10:26:32 PM         
Broker 1  Retail         53        23        9/15/2022 10:26:33 PM         
Broker 4  Retail         53        23        9/15/2022 10:26:33 PM         
Broker 1  Technology     212       23        9/15/2022 10:26:33 PM         
Broker 2  Technology     212       23        9/15/2022 10:26:33 PM         
Broker 3  Technology     212       23        9/15/2022 10:26:33 PM         
Broker 4  Technology     212       23        9/15/2022 10:26:33 PM         
Broker 2  Banking        133       23        9/15/2022 10:26:33 PM         
Broker 3  Banking        133       23        9/15/2022 10:26:33 PM         
Broker 4  Banking        133       23        9/15/2022 10:26:33 PM         
Broker 2  Commodity      750       23        9/15/2022 10:26:33 PM         
Broker 4  Commodity      750       23        9/15/2022 10:26:33 PM         
Broker 1  Retail         54        24        9/15/2022 10:26:33 PM         
Broker 4  Retail         54        24        9/15/2022 10:26:33 PM         
Broker 1  Technology     215       24        9/15/2022 10:26:33 PM         
Broker 2  Technology     215       24        9/15/2022 10:26:33 PM         
Broker 3  Technology     215       24        9/15/2022 10:26:33 PM         
Broker 4  Technology     215       24        9/15/2022 10:26:33 PM         
Broker 2  Banking        136       24        9/15/2022 10:26:33 PM         
Broker 3  Banking        136       24        9/15/2022 10:26:33 PM         
Broker 4  Banking        136       24        9/15/2022 10:26:33 PM         
Broker 2  Commodity      754       24        9/15/2022 10:26:33 PM         
Broker 4  Commodity      754       24        9/15/2022 10:26:33 PM         
Broker 1  Retail         55        25        9/15/2022 10:26:34 PM         
Broker 4  Retail         55        25        9/15/2022 10:26:34 PM         
Broker 1  Technology     219       25        9/15/2022 10:26:34 PM         
Broker 2  Technology     219       25        9/15/2022 10:26:34 PM         
Broker 3  Technology     219       25        9/15/2022 10:26:34 PM         
Broker 4  Technology     219       25        9/15/2022 10:26:34 PM         
Broker 2  Banking        137       25        9/15/2022 10:26:34 PM         
Broker 3  Banking        137       25        9/15/2022 10:26:34 PM         
Broker 4  Banking        137       25        9/15/2022 10:26:34 PM         
Broker 2  Commodity      763       25        9/15/2022 10:26:34 PM         
Broker 4  Commodity      763       25        9/15/2022 10:26:34 PM         
